school_id,school_name,district,county,school_type,grades_served,year,y_chronic_abs,y_ela_prof,y_grad_4yr,y_math_prof,x_ap_coursework,x_attendance_rate,x_dropout_rate,x_enrollment,x_mobility_rate,x_pct_asian,x_pct_black,x_pct_el,x_pct_hispanic,x_pct_homeless,x_pct_iep,x_pct_low_income,x_pct_white,x_suspension_rate,x_teacher_attendance,x_teacher_retention
06-016-4010-26-0001,Elmwood Park High School,Elmwood Park CUSD 401,Cook,High School,12-Sep,2024,36.7,25.9,87.8,19.9,175.0,89.5,2.0,991.0,11.0,1.9,2.6,22.2,59.3,,12.2,41.9,34.7,0.0,64.5,80.6
06-016-4010-26-0001,Elmwood Park High School,Elmwood Park CUSD 401,Cook,High School,12-Sep,2025,43.0,54.0,90.6,35.0,175.0,88.3,1.6,998.0,11.4,2.7,2.6,26.6,58.4,,11.6,59.6,34.7,0.0,82.0,88.7
07-016-2050-17-0001,Thornton Township High School    ,Thornton Twp HSD 205             ,Cook       ,High School,9 - 12,2016,12.0,21.8,80.5,4.9,,93.0,0.5,1.0,13.9,0.9,80.4,,17.6,1.1,19.2,3.2,0.7,,55.4,93.4
07-016-2050-17-0001,Thornton Township High School    ,Thornton Twp HSD 205             ,Cook       ,High School,9 - 12,2017,25.5,11.7,84.8,8.3,,93.4,1.1,1.0,18.1,1.0,78.7,,19.5,0.8,15.9,3.4,0.5,,73.9,88.6
07-016-2050-17-0001,Thornton Township High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL,9 - 12,2018,26.0,11.6,75.4,6.7,,85.9,0.6,1738.0,15.7,0.6,77.2,10.8,21.5,,7.7,53.6,,,,84.7
07-016-2050-17-0001,Thornton Township High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL, 9 10 11 12,2019,24.2,10.1,65.0,7.4,99.0,93.4,12.7,1649.0,20.4,1.2,73.6,10.9,24.4,1.5,11.2,64.1,0.2,368.0,,84.5
07-016-2050-17-0001,Thornton Township High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL, 9 10 11 12,2020,31.9,,84.0,,113.0,91.3,8.1,1569.0,19.4,1.5,71.8,12.2,25.9,2.9,10.6,63.2,0.2,179.0,,85.9
07-016-2050-17-0001,Thornton Township High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL, 9 10 11 12,2021,21.8,6.9,73.9,6.9,113.0,93.2,10.6,1475.0,20.2,1.9,67.4,17.2,29.4,3.1,9.6,87.7,,179.0,,89.1
07-016-2050-17-0001,Thornton Township High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL,12-Sep,2022,73.6,5.0,73.0,6.0,,79.3,9.8,1517.0,20.4,1.7,67.7,17.3,29.2,1.8,13.6,90.1,,,,88.4
07-016-2050-17-0001,Thornton Township High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL,12-Sep,2023,56.0,6.8,75.5,4.3,113.0,85.4,5.4,1391.0,20.6,1.5,67.0,18.0,30.3,3.7,7.0,95.3,,179.0,,88.6
07-016-2050-17-0001,Thornton Township High School,Thornton Twp HSD 205,Cook,High School,12-Sep,2024,49.7,9.6,80.5,7.8,88.0,87.2,4.2,1485.0,19.2,1.2,64.7,20.9,29.5,5.3,6.2,92.3,3.1,6.0,74.5,90.0
07-016-2050-17-0001,Thornton Township High School,Thornton Twp HSD 205,Cook,High School,12-Sep,2025,48.5,21.0,79.0,9.9,88.0,87.6,3.5,1533.0,20.2,1.2,64.3,22.4,30.2,8.5,11.7,87.4,3.3,6.0,83.4,90.9
07-016-2050-17-0002,Thornridge High School           ,Thornton Twp HSD 205             ,Cook       ,High School,9 - 12,2016,20.6,13.8,61.6,1.3,,89.8,1.8,1.0,17.4,0.0,97.5,,1.9,3.4,19.2,3.2,0.4,,45.4,91.4
07-016-2050-17-0002,Thornridge High School           ,Thornton Twp HSD 205             ,Cook       ,High School,9 - 12,2017,22.9,8.0,69.1,8.0,,79.2,1.0,1.0,16.6,0.1,96.8,,2.1,2.6,15.9,3.4,0.6,,53.7,87.1
07-016-2050-17-0002,Thornridge High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL,9 - 12,2018,64.7,8.5,75.1,5.4,,84.7,1.5,1172.0,16.8,,95.9,3.2,2.9,2.4,13.7,55.7,,,,85.7
07-016-2050-17-0002,Thornridge High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL, 9 10 11 12,2019,19.2,6.4,71.2,3.2,45.0,94.7,11.2,1089.0,23.2,,96.1,3.1,3.0,1.8,15.2,97.3,0.4,495.0,,85.8
07-016-2050-17-0002,Thornridge High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL, 9 10 11 12,2020,25.4,,68.3,,22.0,93.0,8.7,1038.0,22.0,,96.5,3.9,2.8,1.5,16.1,50.5,0.1,391.0,,88.2
07-016-2050-17-0002,Thornridge High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL, 9 10 11 12,2021,18.3,7.4,73.1,5.8,22.0,93.6,5.6,999.0,11.0,,94.7,3.9,4.1,2.3,19.1,77.4,,391.0,,89.6
07-016-2050-17-0002,Thornridge High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL,12-Sep,2022,74.8,5.8,71.2,3.1,,79.8,6.5,966.0,27.0,,94.4,3.0,3.8,2.2,20.5,64.7,,,,88.5
07-016-2050-17-0002,Thornridge High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL,12-Sep,2023,58.0,5.7,79.8,1.6,22.0,84.7,5.5,888.0,29.0,,92.3,4.4,6.0,8.1,15.0,59.6,,391.0,,89.5
07-016-2050-17-0002,Thornridge High School,Thornton Twp HSD 205,Cook,High School,12-Sep,2024,46.8,8.7,80.2,,59.0,88.1,5.3,789.0,24.4,,90.1,6.1,7.5,18.5,15.0,79.7,,0.2,75.0,87.9
07-016-2050-17-0002,Thornridge High School,Thornton Twp HSD 205,Cook,High School,12-Sep,2025,54.3,18.0,78.8,6.6,59.0,86.7,3.6,797.0,22.1,,89.0,7.5,8.4,21.8,15.1,85.8,,0.2,70.4,88.4
07-016-2050-17-0003,Thornwood High School            ,Thornton Twp HSD 205             ,Cook       ,High School,9 - 12,2016,9.8,20.0,77.0,4.3,,92.0,1.2,1.0,12.3,0.1,86.7,,8.4,1.6,19.2,3.2,2.8,,65.6,90.8
07-016-2050-17-0003,Thornwood High School            ,Thornton Twp HSD 205             ,Cook       ,High School,9 - 12,2017,13.1,11.5,80.5,9.4,,92.7,0.3,1.0,11.2,0.0,83.4,,11.5,3.1,15.9,3.4,2.7,,84.2,88.2
07-016-2050-17-0003,Thornwood High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL,9 - 12,2018,2.6,7.7,79.3,6.6,,90.8,0.4,1730.0,11.6,,83.2,6.2,11.6,2.7,16.8,61.8,3.0,,,87.7
07-016-2050-17-0003,Thornwood High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL, 9 10 11 12,2019,13.7,11.1,79.5,7.4,81.0,94.9,6.3,1780.0,15.5,0.1,83.0,4.3,12.7,1.9,16.7,99.2,1.7,630.0,,90.5
07-016-2050-17-0003,Thornwood High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL, 9 10 11 12,2020,17.0,,83.4,,94.0,94.4,4.3,1844.0,16.1,0.1,82.6,5.3,12.8,2.8,15.1,64.4,1.6,17.0,,93.1
07-016-2050-17-0003,Thornwood High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL, 9 10 11 12,2021,10.8,9.3,84.4,7.7,94.0,96.3,2.1,1838.0,9.0,,82.3,4.1,13.1,2.6,13.7,75.0,1.1,17.0,,93.9
07-016-2050-17-0003,Thornwood High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL,12-Sep,2022,58.5,7.9,80.7,6.1,,84.6,1.6,1908.0,15.0,,84.0,4.2,12.4,2.0,18.2,63.6,0.7,,,94.0
07-016-2050-17-0003,Thornwood High School,Thornton Twp HSD 205,Cook,HIGH SCHOOL,12-Sep,2023,45.1,10.0,88.5,6.0,94.0,88.3,2.8,1909.0,15.6,,81.7,5.6,13.9,2.1,14.7,52.7,1.1,17.0,,94.1
07-016-2050-17-0003,Thornwood High School,Thornton Twp HSD 205,Cook,High School,12-Sep,2024,49.0,10.8,85.0,4.3,157.0,87.6,4.2,1776.0,19.1,,81.4,9.3,14.6,3.2,17.3,71.7,1.5,0.1,85.5,92.2
07-016-2050-17-0003,Thornwood High School,Thornton Twp HSD 205,Cook,High School,12-Sep,2025,41.7,25.2,82.8,14.3,157.0,89.1,3.2,1691.0,15.6,,81.8,7.6,14.3,4.0,15.6,72.4,1.8,0.1,82.9,92.6
07-016-2060-17-0001,Bloom High School                ,Bloom Twp HSD 206                ,Cook       ,High School,9 - 12,2016,27.6,7.8,78.5,1.3,,88.4,0.8,1.0,14.4,0.1,47.4,,43.9,1.9,17.1,3.2,4.7,,58.3,88.2
07-016-2060-17-0001,Bloom High School                ,Bloom Twp HSD 206                ,Cook       ,High School,9 - 12,2017,19.2,19.0,78.2,11.1,,90.8,0.6,1.0,16.9,0.1,44.5,,47.5,1.4,17.8,3.4,4.1,,54.8,90.5
07-016-2060-17-0001,Bloom High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL,9 - 12,2018,31.3,16.9,85.8,9.2,,90.1,0.7,1681.0,14.5,,43.1,18.4,49.0,1.7,13.7,85.9,3.7,,,92.2
07-016-2060-17-0001,Bloom High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL, 9 10 11 12,2019,39.3,16.8,86.3,11.6,199.0,89.8,4.6,1642.0,19.4,0.1,40.1,22.5,51.5,1.0,14.7,86.2,2.9,1004.0,,91.1
07-016-2060-17-0001,Bloom High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL, 9 10 11 12,2020,21.4,,90.8,,360.0,93.6,3.9,1562.0,17.4,0.1,38.0,22.2,55.0,0.3,14.4,83.2,2.5,863.0,,88.7
07-016-2060-17-0001,Bloom High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL, 9 10 11 12,2021,45.0,7.9,88.1,6.8,360.0,84.5,1.7,1631.0,8.7,,37.2,21.8,55.4,2.7,15.8,73.8,2.6,863.0,,86.3
07-016-2060-17-0001,Bloom High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL,12-Sep,2022,56.2,8.3,86.2,6.6,,83.5,0.7,1688.0,15.7,,37.3,20.7,54.0,0.9,17.1,75.4,4.3,,,87.8
07-016-2060-17-0001,Bloom High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL,12-Sep,2023,53.6,6.7,88.7,5.8,360.0,84.6,4.0,1684.0,17.3,,39.2,21.4,55.9,0.8,14.1,78.3,2.6,863.0,,89.9
07-016-2060-17-0001,Bloom High School,Bloom Twp HSD 206,Cook,High School,12-Sep,2024,48.4,9.9,88.6,6.4,252.0,86.2,2.9,1767.0,19.4,,38.9,25.4,56.4,,12.8,84.2,2.8,0.0,50.3,92.5
07-016-2060-17-0001,Bloom High School,Bloom Twp HSD 206,Cook,High School,12-Sep,2025,47.0,24.3,91.3,14.4,252.0,86.6,3.8,1766.0,15.0,,39.5,28.1,56.4,,12.6,81.9,2.3,0.0,71.2,92.7
07-016-2060-17-0002,Bloom Trail High School          ,Bloom Twp HSD 206                ,Cook       ,High School,9 - 12,2016,25.3,18.9,72.2,3.5,,87.3,2.0,1.0,19.8,0.7,59.8,,17.0,2.1,17.1,3.2,17.7,,51.3,83.3
07-016-2060-17-0002,Bloom Trail High School          ,Bloom Twp HSD 206                ,Cook       ,High School,9 - 12,2017,22.6,18.6,75.9,9.5,,89.6,2.3,1.0,20.6,0.8,58.1,,17.8,1.1,17.8,3.4,17.6,,63.8,83.9
07-016-2060-17-0002,Bloom Trail High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL,9 - 12,2018,41.1,20.0,78.0,13.8,,88.3,1.5,1266.0,21.8,0.8,55.7,6.4,20.9,1.2,15.6,77.4,16.0,,,83.7
07-016-2060-17-0002,Bloom Trail High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL, 9 10 11 12,2019,41.0,17.4,79.6,9.1,181.0,88.7,6.9,1225.0,25.6,0.4,53.7,7.8,23.8,0.7,19.7,78.2,13.6,444.0,,87.3
07-016-2060-17-0002,Bloom Trail High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL, 9 10 11 12,2020,21.5,,84.9,,295.0,93.4,5.3,1180.0,20.2,0.4,54.4,6.9,25.2,0.5,18.8,80.6,14.1,578.0,,87.7
07-016-2060-17-0002,Bloom Trail High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL, 9 10 11 12,2021,51.8,11.3,80.4,9.7,295.0,82.2,4.5,1151.0,8.7,,53.7,7.2,27.2,1.8,14.6,69.9,12.0,578.0,,90.9
07-016-2060-17-0002,Bloom Trail High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL,12-Sep,2022,51.6,7.3,83.8,6.1,,85.5,2.4,1174.0,22.2,,54.6,7.0,28.4,1.0,15.0,74.6,10.3,,,87.4
07-016-2060-17-0002,Bloom Trail High School,Bloom Twp HSD 206,Cook,HIGH SCHOOL,12-Sep,2023,51.0,9.7,85.7,7.4,295.0,85.1,5.0,1212.0,23.1,,56.2,8.6,28.5,2.1,17.2,79.7,10.3,578.0,,86.2
07-016-2060-17-0002,Bloom Trail High School,Bloom Twp HSD 206,Cook,High School,12-Sep,2024,48.1,7.1,85.2,3.4,162.0,86.4,4.6,1270.0,22.1,,57.6,10.5,28.2,0.9,19.3,82.4,10.6,0.0,56.7,83.5
07-016-2060-17-0002,Bloom Trail High School,Bloom Twp HSD 206,Cook,High School,12-Sep,2025,43.1,23.0,87.1,11.4,162.0,87.3,3.7,1198.0,18.1,,59.1,10.9,28.0,,18.8,81.1,9.9,0.0,65.0,89.5
07-016-2100-17-0001,Lemont Twp High School           ,Lemont Twp HSD 210               ,Cook       ,High School,9 - 12,2016,1.9,60.3,96.0,57.0,,94.9,0.4,1.0,2.7,5.1,1.0,,9.8,0.1,9.5,3.2,82.5,,84.4,96.6
07-016-2100-17-0001,Lemont Twp High School           ,Lemont Twp HSD 210               ,Cook       ,High School,9 - 12,2017,2.2,61.7,93.3,60.4,,94.1,0.3,1.0,1.7,4.7,1.3,,10.5,0.2,10.2,3.4,81.7,,84.0,96.2
07-016-2100-17-0001,Lemont Twp High School,Lemont Twp HSD 210,Cook,HIGH SCHOOL,9 - 12,2018,14.9,59.8,96.8,55.8,,94.2,0.1,1404.0,1.3,5.1,0.9,1.9,11.4,,9.0,13.1,80.8,,,95.1
07-016-2100-17-0001,Lemont Twp High School,Lemont Twp HSD 210,Cook,HIGH SCHOOL, 9 10 11 12,2019,15.7,57.1,94.9,51.7,401.0,94.3,0.9,1373.0,1.9,4.9,1.0,2.5,11.0,0.5,9.1,11.9,81.1,0.0,,96.1
07-016-2100-17-0001,Lemont Twp High School,Lemont Twp HSD 210,Cook,HIGH SCHOOL, 9 10 11 12,2020,8.4,,95.3,,524.0,95.8,1.4,1378.0,2.1,4.6,0.9,2.6,11.2,0.1,9.9,10.7,81.1,31.0,,95.5
07-016-2100-17-0001,Lemont Twp High School,Lemont Twp HSD 210,Cook,HIGH SCHOOL, 9 10 11 12,2021,8.6,47.2,96.4,46.6,524.0,95.8,0.9,1390.0,2.2,5.0,0.7,2.7,11.3,,9.9,13.4,80.7,31.0,,97.0
07-016-2100-17-0001,Lemont Twp High School,Lemont Twp HSD 210,Cook,HIGH SCHOOL,12-Sep,2022,22.4,47.2,93.7,50.6,,92.6,0.8,1364.0,2.4,4.8,1.0,2.9,11.5,,11.0,13.8,79.6,,,96.5
07-016-2100-17-0001,Lemont Twp High School,Lemont Twp HSD 210,Cook,HIGH SCHOOL,12-Sep,2023,22.6,54.1,95.9,47.4,524.0,92.1,0.8,1317.0,2.1,4.6,1.0,3.6,12.3,,8.8,14.0,78.7,31.0,,96.9
07-016-2100-17-0001,Lemont Twp High School,Lemont Twp HSD 210,Cook,High School,12-Sep,2024,21.2,48.3,96.1,52.4,552.0,92.8,,1301.0,2.5,4.2,1.1,4.6,12.5,,9.9,17.4,78.9,0.0,76.0,94.0
07-016-2100-17-0001,Lemont Twp High School,Lemont Twp HSD 210,Cook,High School,12-Sep,2025,23.7,78.5,97.9,70.6,552.0,92.2,,1276.0,3.3,3.9,0.8,4.9,11.9,0.8,10.2,16.7,79.9,0.0,71.6,92.2
07-016-2150-17-0001,Thornton Fractnl No High School  ,Thornton Fractional Twp HSD 215  ,Cook       ,High School,9 - 12,2016,4.0,18.9,92.7,17.5,,91.8,0.2,1.0,20.4,0.3,72.2,,23.7,2.7,12.6,3.2,2.4,,71.8,91.3
07-016-2150-17-0001,Thornton Fractnl No High School  ,Thornton Fractional Twp HSD 215  ,Cook       ,High School,9 - 12,2017,2.3,11.8,92.7,9.1,,94.4,0.3,1.0,5.2,0.2,64.4,,32.0,1.7,11.5,3.4,2.2,,87.2,89.1
07-016-2150-17-0001,Thornton Fractnl No High School,Thornton Fractional Twp HSD 215,Cook,HIGH SCHOOL,9 - 12,2018,14.3,11.5,97.2,10.1,,93.6,0.4,1452.0,6.6,,67.8,7.5,28.0,2.1,13.6,99.6,2.4,,,89.0
07-016-2150-17-0001,Thornton Fractnl No High School,Thornton Fractional Twp HSD 215,Cook,HIGH SCHOOL, 9 10 11 12,2019,15.6,13.5,83.3,8.3,170.0,94.6,5.4,1312.0,7.9,0.2,66.5,8.6,30.0,2.6,14.4,70.7,1.8,780.0,,89.4
07-016-2150-17-0001,Thornton Fractnl No High School,Thornton Fractional Twp HSD 215,Cook,HIGH SCHOOL, 9 10 11 12,2020,11.8,,86.8,,101.0,95.6,7.7,1331.0,8.7,0.2,65.2,10.6,31.8,2.4,15.6,77.4,1.6,621.0,,88.7
07-016-2150-17-0001,Thornton Fractnl No High Schoo,Thornton Fractional Twp HSD 21,Cook,HIGH SCHOOL, 9 10 11 12,2021,20.5,10.9,81.7,6.0,101.0,92.5,5.2,1259.0,4.5,,63.2,11.6,31.2,2.0,12.2,73.7,2.0,621.0,,92.2
07-016-2150-17-0001,Thornton Fractnl No High School,Thornton Fractional Twp HSD 215,Cook,HIGH SCHOOL,12-Sep,2022,31.9,10.1,87.8,6.6,,91.4,4.5,1286.0,16.8,,63.9,13.4,31.9,3.0,14.0,84.5,1.9,,,93.1
07-016-2150-17-0001,Thornton Fractnl No High School,Thornton Fractional Twp HSD 215,Cook,HIGH SCHOOL,12-Sep,2023,27.8,10.0,87.2,3.7,101.0,92.1,5.4,1262.0,11.6,,61.6,15.1,34.9,3.1,12.9,76.4,1.5,621.0,,92.7
07-016-2150-17-0001,Thornton Fractnl No High School,Thornton Fractional Twp HSD 215,Cook,High School,12-Sep,2024,21.8,10.1,86.3,6.4,201.0,92.8,3.8,1237.0,14.4,,62.2,17.2,35.7,1.8,13.4,66.5,0.9,37.4,54.9,92.1
07-016-2150-17-0001,Thornton Fractnl No High School,Thornton Fractional Twp HSD 215,Cook,High School,12-Sep,2025,18.9,31.4,86.6,15.6,201.0,93.2,3.1,1265.0,10.6,,60.2,19.1,38.3,1.6,11.9,79.7,0.8,37.4,57.3,93.2
07-016-2150-17-0002,Thornton Fractnl So High School  ,Thornton Fractional Twp HSD 215  ,Cook       ,High School,9 - 12,2016,3.7,20.0,96.2,12.1,,94.9,0.4,1.0,10.1,0.6,62.8,,16.7,2.5,12.6,3.2,15.9,,81.2,92.5
07-016-2150-17-0002,Thornton Fractnl So High School  ,Thornton Fractional Twp HSD 215  ,Cook       ,High School,9 - 12,2017,4.0,18.8,96.2,16.0,,94.7,0.5,1.0,5.1,0.5,64.5,,18.5,2.5,11.5,3.4,11.8,,76.9,91.1
07-016-2150-17-0002,Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,Cook,HIGH SCHOOL,9 - 12,2018,3.6,18.2,97.0,16.1,,95.0,0.8,1880.0,6.4,,63.1,4.0,19.9,2.2,12.2,95.2,12.8,,,91.8
07-016-2150-17-0002,Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,Cook,HIGH SCHOOL, 9 10 11 12,2019,8.3,17.7,86.3,13.7,248.0,95.2,3.7,1821.0,6.2,0.4,62.7,4.1,21.7,2.7,12.2,65.1,11.3,693.0,,94.4
07-016-2150-17-0002,Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,Cook,HIGH SCHOOL, 9 10 11 12,2020,6.4,,85.8,,205.0,96.6,3.8,1874.0,7.3,0.8,63.3,4.3,22.6,2.6,12.4,61.0,10.5,344.0,,93.9
07-016-2150-17-0002,Thornton Fractnl So High Schoo,Thornton Fractional Twp HSD 21,Cook,HIGH SCHOOL, 9 10 11 12,2021,9.1,14.7,86.3,11.4,205.0,95.9,4.0,1840.0,5.8,0.8,61.0,4.5,24.0,1.2,10.5,47.2,9.9,344.0,,95.7
07-016-2150-17-0002,Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,Cook,HIGH SCHOOL,12-Sep,2022,27.1,12.8,85.7,10.1,,90.2,3.5,1904.0,12.1,0.9,64.8,5.4,20.9,2.9,12.8,66.7,10.1,,,96.5
07-016-2150-17-0002,Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,Cook,HIGH SCHOOL,12-Sep,2023,21.3,19.8,92.5,12.4,205.0,93.0,3.5,1783.0,9.4,,66.9,6.1,24.1,2.6,12.1,57.9,6.5,344.0,,96.9
07-016-2150-17-0002,Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,Cook,High School,12-Sep,2024,19.1,17.2,94.7,9.9,177.0,93.6,2.9,1740.0,10.6,,66.5,9.1,24.7,2.8,12.9,50.0,6.7,12.6,61.8,96.3
07-016-2150-17-0002,Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,Cook,High School,12-Sep,2025,18.9,36.7,92.7,17.4,177.0,93.7,3.5,1645.0,11.4,,67.6,8.9,25.4,4.0,13.4,67.3,5.4,12.6,64.1,94.1
07-016-2170-16-0001,Argo Community High School       ,Argo CHSD 217                    ,Cook       ,High School,9 - 12,2016,2.8,24.2,89.7,17.5,,95.7,1.0,1.0,17.1,1.8,15.4,,43.0,2.0,14.1,3.2,36.6,,85.2,92.7
07-016-2170-16-0001,Argo Community High School       ,Argo CHSD 217                    ,Cook       ,High School,9 - 12,2017,1.5,25.3,86.7,28.8,,94.9,1.1,1.0,6.1,2.2,13.3,,40.8,1.1,11.4,3.4,38.4,,73.8,92.8
07-016-2170-16-0001,Argo Community High School,Argo CHSD 217,Cook,HIGH SCHOOL,9 - 12,2018,20.3,23.8,89.9,29.9,,94.0,1.7,1909.0,8.1,1.8,12.2,9.6,50.3,0.8,10.8,65.4,33.7,,,93.8
07-016-2170-16-0001,Argo Community High School,Argo CHSD 217,Cook,HIGH SCHOOL, 9 10 11 12,2019,21.8,24.8,86.7,26.1,199.0,93.6,3.1,1922.0,7.9,1.8,11.7,10.5,45.9,0.7,11.1,64.0,34.0,404.0,,95.2
07-016-2170-16-0001,Argo Community High School,Argo CHSD 217,Cook,HIGH SCHOOL, 9 10 11 12,2020,15.4,,88.4,,365.0,94.5,2.9,1934.0,7.0,1.4,11.3,12.5,51.8,1.2,11.0,62.5,32.1,212.0,,96.7
07-016-2170-16-0001,Argo Community High School,Argo CHSD 217,Cook,HIGH SCHOOL, 9 10 11 12,2021,20.9,20.0,88.6,20.2,365.0,92.8,1.7,1869.0,5.2,1.7,10.6,12.4,52.0,1.2,12.3,52.3,32.7,212.0,,96.7
07-016-2170-16-0001,Argo Community High School,Argo CHSD 217,Cook,HIGH SCHOOL,12-Sep,2022,27.9,17.1,88.8,20.8,,91.5,2.1,1886.0,9.0,1.6,10.0,15.9,54.6,0.9,13.3,47.8,31.0,,,97.6
07-016-2170-16-0001,Argo Community High School,Argo CHSD 217,Cook,HIGH SCHOOL,12-Sep,2023,28.0,19.8,88.8,15.9,365.0,91.6,3.3,1866.0,8.7,2.3,9.4,19.2,54.7,0.6,13.2,67.0,31.7,212.0,,97.0
07-016-2170-16-0001,Argo Community High School,Argo CHSD 217,Cook,High School,12-Sep,2024,24.8,16.8,85.3,16.4,724.0,92.3,3.1,1771.0,9.3,2.6,9.5,23.5,54.6,,13.6,67.8,32.4,0.0,55.2,96.0
07-016-2170-16-0001,Argo Community High School,Argo CHSD 217,Cook,High School,12-Sep,2025,23.7,43.6,87.1,35.2,724.0,92.4,1.8,1739.0,7.7,1.7,11.3,26.5,54.1,1.8,11.9,64.2,28.2,0.0,60.4,94.6
07-016-2180-16-0001,DD Eisenhower High Sch (Campus)  ,CHSD 218                         ,Cook       ,High School,9 - 12,2016,6.9,25.2,81.7,16.4,,93.3,1.3,1.0,9.2,0.4,33.2,,56.5,1.0,16.1,3.2,8.4,,,45.9
07-016-2180-16-0001,DD Eisenhower High Sch (Campus)  ,CHSD 218                         ,Cook       ,High School,9 - 12,2017,6.2,16.2,81.4,10.8,,92.8,0.6,1.0,8.6,0.5,31.9,,57.7,1.6,15.8,3.4,8.1,,96.5,91.0
07-016-2180-16-0001,DD Eisenhower High Sch (Campus),CHSD 218,Cook,HIGH SCHOOL,9 - 12,2018,21.9,17.8,82.0,16.0,,92.5,1.1,1813.0,9.4,,32.1,8.1,58.3,1.7,18.3,86.4,7.3,,,93.1
07-016-2180-16-0001,DD Eisenhower High Sch (Campus),CHSD 218,Cook,HIGH SCHOOL, 9 10 11 12,2019,26.2,13.3,79.1,11.9,318.0,92.3,4.6,1809.0,9.6,0.4,30.1,9.3,59.7,1.4,18.9,84.0,8.4,90.0,,91.9
07-016-2180-16-0001,DD Eisenhower High Sch (Campus),CHSD 218,Cook,HIGH SCHOOL, 9 10 11 12,2020,23.4,,81.9,,330.0,92.6,4.0,1789.0,7.8,0.4,29.1,11.5,61.3,1.9,18.7,79.3,7.5,345.0,,93.5
07-016-2180-16-0001,DD Eisenhower High Sch (Campus,CHSD 218,Cook,HIGH SCHOOL, 9 10 11 12,2021,31.7,13.4,80.8,10.8,330.0,89.1,2.8,1757.0,5.5,0.7,27.0,13.5,63.2,1.4,19.2,82.5,6.9,345.0,,92.2
07-016-2180-16-0001,DD Eisenhower High Sch (Campus),CHSD 218,Cook,HIGH SCHOOL,12-Sep,2022,40.0,9.0,78.1,8.2,,88.6,3.2,1791.0,12.0,0.6,27.9,15.3,62.8,1.3,21.1,82.9,6.3,,,94.5
07-016-2180-16-0001,DD Eisenhower High Sch (Campus),CHSD 218,Cook,HIGH SCHOOL,12-Sep,2023,38.3,12.4,77.3,8.3,330.0,88.8,3.4,1825.0,11.7,0.6,27.3,18.4,63.0,2.5,21.6,83.2,6.8,345.0,,95.1
07-016-2180-16-0001,DD Eisenhower High Sch (Campus),CHSD 218,Cook,High School,12-Sep,2024,40.9,13.5,74.7,9.1,366.0,88.5,3.6,1806.0,12.5,0.7,28.7,22.6,61.1,3.1,21.5,82.6,7.3,14.1,64.4,93.6
07-016-2180-16-0001,DD Eisenhower High Sch (Campus),CHSD 218,Cook,High School,12-Sep,2025,36.7,31.6,78.0,20.5,366.0,89.7,5.3,1770.0,9.9,0.6,27.3,25.9,63.2,3.2,19.9,84.6,6.8,14.1,56.8,91.0
07-016-2180-16-0004,H L Richards High Sch(Campus)    ,CHSD 218                         ,Cook       ,High School,9 - 12,2016,4.1,36.0,84.7,23.4,,93.6,1.2,1.0,8.0,2.1,29.3,,18.1,0.8,16.1,3.2,48.1,,,52.0
07-016-2180-16-0004,H L Richards High Sch(Campus)    ,CHSD 218                         ,Cook       ,High School,9 - 12,2017,7.1,28.2,93.0,23.3,,93.6,0.2,1.0,6.9,1.8,27.9,,20.9,0.7,15.8,3.4,46.2,,97.2,52.0
